User Query,Bot Response,Class
what are the documents required for opening a current account of a sole proprietorship firm,following documents are required to open a current account of a sole proprietorship entity: proof of existence in the name of firm proof of address in the name of firm kyc of the proprietor any two of the below listed documents shall be obtained for establishing proof of existence. registration certificate/license issued by municipal authorities such as shop & establishment certificate/trade license cst/vat/service tax certificate or letter of registration for cst/vat/service tax certificate/registration document issued by professional tax authorities valid business license or certificate of registration issued by state/central government authority (validity would include the grace period for renewal as mentioned in the certificate) rbi/sebi registration certificate license issued by food and drug control authorities import - export certificate (iec code) issued by the director general of foreign trade documents for establishing proof of address landline telephone bill/electricity bill of public & approved private operators in the state. (bills not to be older than 4 months from the date of account opening) property ownership deed i.e. title deeds of the property in the name of the firm duly stamped and registered tan allotment letter issued in the name of the firm latest property tax or water tax paid receipt/bill raised in the name of the firm existing bank account statement or passbook of a psu/private sector/foreign bank. statement not older than 4 months from the date of account opening to be accepted ** this is only indicative list. please visit your nearest branch for details view more,accounts
can i transfer my current account from one branch to another,"yes, current accounts can be transferred from one branch to another. however, there are certain restrictions. please visit your nearest branch for details.",accounts
my present status is nri. what extra documents are required for opening a sole proprietorship current account,nri/pio can open the proprietorship/partnership firm subject to following customer declaration (which needs to be taken from the customer): amount is invested by inward remittance or out of nre/fcnr/nro account maintained with ad bank (from the current account of the customer). the firm or proprietary concern is not engaged in any agricultural/plantation or real estate business (i.e. dealing in land and immovable property with a view to earning profit or earning income there from) or print media sector. amount invested shall not be eligible for repatriation outside india. the above should be clearly mentioned in the declarations given by the customer. view more,accounts
what are the documents required for opening a current account of limited liability partnership,"following documents are required for opening a current account of limited liability partnership: incorporation document, limited liability partnership agreement certificate of incorporation list of all existing designated partners of llp along with designated partner identification number (dpin) issued by the central government resolution passed at the meeting of designated partners for the particular relationship, which the llp plans to have with the bank kyc of designated partners/authorised signatories view more",accounts
what documents are required to change the address of an entity,following documents are required to change the address of an entity:request letter for address change signed by the proprietor/partner/authorised signatory (in case of a company)along with following list of documents: landline telephone bill/electricity bill of public and approved private operators in the state. (bills not to be older than 4 months from the date of account opening) property ownership deed i.e. the title deeds of the property in the name of the firm duly stamped and registered tan allotment letter issued in the name of the firm latest property tax or water tax paid receipt/bill raised in the name of the firm existing bank account statement or passbook of a psu/private sector /foreign bank. (statement not older than 4 months from the date of account opening to be accepted; ** this is only an indicative list. please visit your nearest branch for details view more,accounts
what are the documents required for opening current account of a company,following documents are required for opening current account of a company: private limited companies - memorandum of association (moa) - articles of association (aoa) - certificate of incorporation - latest list of directors duly signed by any director/company secretary /authorised signatory - board resolution (br) duly signed by the directors of the company. limited companies - memorandum of association (moa) - articles of association (aoa) - certificate of incorporation - certificate of commencement of business - latest list of directors duly signed by any director/company secretary/authorised signatory - board resolution (br) duly signed by the directors/company secretary of the company view more,accounts
who can be a partner in a partnership firm,"partners must be major (above the age of 18), should be sane and should not be disqualified by law from entering into a contract.",accounts
what is the time taken to realize outstation cheques,"the indicative time taken for the realization of outstation cheques is given below: cheques drawn where m&n  bank has a branch, credit will be given on receipt of clear funds in: main metro locations (mumbai, chennai, kolkata, new delhi): 7 working days metro centers and state capitals (other than those of north eastern states and sikkim): maximum period of 10 working days. in all other centres where we have branches: maximum period of 14 working days. cheques drawn on non-branch locations where we have a tie-up with correspondent banks, credit will be given on receipt of clear funds: within a maximum period of 14 working days cheques drawn on non-branch locations where we do not have a tie-up with correspondent banks, credit will be given on receipt of clear funds: within a maximum period of 14 working days for more details on the outstation cheque collection policy, click here. for other queries, contact us. view more",accounts
can an individual open a current account,"yes. documentation will be that of an individual, i.e. identity proof and address proof.click here for documentation required for opening individual a current account.",accounts
can eefc account be opened by special economic zone (sez) units,"no, sez units cannot open eefc accounts.",accounts
