source_stop,destination_stop,travel_time_seconds
21,20,150.0
20,19,130.0
20,21,150.0
19,18,105.0
19,20,130.0
18,17,120.0
18,19,105.0
17,16,130.0
17,18,120.0
16,15,140.0
16,175,142.0
16,17,130.0
16,174,147.0
15,14,100.0
15,16,140.0
14,13,120.0
14,15,100.0
13,12,135.0
13,34,150.0
13,14,120.0
12,11,155.0
12,13,135.0
11,10,115.0
11,12,155.0
10,9,115.0
10,11,115.0
9,8,125.0
9,10,115.0
8,7,205.0
8,46,130.0
8,160,169.0
8,9,125.0
8,47,136.0
7,6,150.0
7,8,205.0
6,5,125.0
6,7,150.0
5,4,130.0
5,214,195.0
5,6,125.0
5,213,152.0
4,3,130.0
4,5,130.0
3,2,115.0
3,4,130.0
2,1,115.0
2,3,115.0
1,232,126.0
1,2,115.0
232,231,130.0
232,1,126.0
231,230,120.0
231,232,130.0
230,229,122.0
230,231,120.0
229,228,136.0
229,230,122.0
228,227,85.0
228,229,136.0
227,226,153.0
227,228,85.0
226,225,113.0
226,227,153.0
225,226,113.0
71,70,120.0
70,69,140.0
70,71,120.0
69,68,127.0
69,70,140.0
68,67,106.0
68,148,120.0
68,69,127.0
68,168,120.0
67,66,196.0
67,68,106.0
66,65,194.0
66,67,196.0
65,64,127.0
65,66,194.0
64,63,151.0
64,65,127.0
63,62,138.0
63,64,151.0
62,61,170.0
62,63,138.0
61,60,187.0
61,62,170.0
60,59,166.0
60,61,187.0
59,58,164.0
59,185,149.0
59,60,166.0
59,186,114.0
58,57,120.0
58,59,164.0
57,56,113.0
57,58,120.0
56,55,128.0
56,206,135.0
56,57,113.0
56,205,123.0
55,54,128.0
55,56,128.0
54,53,131.0
54,55,128.0
53,52,92.0
53,54,131.0
52,51,109.0
52,124,212.0
52,53,92.0
52,123,83.0
51,50,133.0
51,52,109.0
50,49,150.0
50,93,150.0
50,51,133.0
50,94,136.0
49,48,105.0
49,50,150.0
49,157,180.0
48,47,132.0
48,49,105.0
47,8,136.0
47,48,132.0
46,45,121.0
46,8,130.0
45,44,132.0
45,46,121.0
44,43,116.0
44,45,132.0
43,42,124.0
43,44,116.0
42,41,133.0
42,43,124.0
41,40,135.0
41,174,160.0
41,42,133.0
41,173,217.0
40,39,133.0
40,41,135.0
39,38,126.0
39,40,133.0
38,37,176.0
38,39,126.0
37,36,131.0
37,38,176.0
36,37,131.0
121,120,182.0
121,154,241.0
120,119,108.0
120,121,182.0
119,118,120.0
119,120,108.0
118,117,107.0
118,119,120.0
117,116,120.0
117,118,107.0
116,115,100.0
116,117,120.0
115,114,104.0
115,116,100.0
114,113,145.0
114,115,104.0
113,112,175.0
113,239,136.0
113,114,145.0
112,111,115.0
112,113,175.0
111,110,120.0
111,112,115.0
110,109,105.0
110,111,120.0
109,108,137.0
109,110,105.0
108,107,105.0
108,195,155.0
108,109,137.0
107,106,114.0
107,108,105.0
106,105,101.0
106,107,114.0
105,104,102.0
105,106,101.0
104,103,114.0
104,105,102.0
103,102,105.0
103,178,173.0
103,104,114.0
103,177,115.0
102,101,120.0
102,103,105.0
101,100,119.0
101,102,120.0
100,99,126.0
100,35,100.0
100,101,119.0
99,98,137.0
99,100,126.0
98,97,112.0
98,99,137.0
97,96,118.0
97,98,112.0
96,95,118.0
96,97,118.0
95,94,113.0
95,96,118.0
94,50,136.0
94,95,113.0
93,92,115.0
93,50,150.0
92,91,120.0
92,123,199.0
92,93,115.0
92,122,105.0
91,90,110.0
91,92,120.0
90,89,174.0
90,91,110.0
89,88,185.0
89,78,170.0
89,90,174.0
88,87,156.0
88,89,185.0
87,86,117.0
87,224,99.0
87,88,156.0
87,223,296.0
86,85,111.0
86,87,117.0
85,84,121.0
85,86,111.0
84,83,103.0
84,85,121.0
83,82,117.0
83,84,103.0
82,81,110.0
82,83,117.0
81,80,134.0
81,82,110.0
81,161,212.0
80,79,118.0
80,81,134.0
79,233,119.0
79,80,118.0
233,234,122.0
233,79,119.0
234,235,137.0
234,233,122.0
235,236,112.0
235,234,137.0
236,237,123.0
236,235,112.0
237,238,130.0
237,236,123.0
238,237,130.0
78,77,120.0
78,89,170.0
77,76,105.0
77,78,120.0
76,75,125.0
76,77,105.0
75,74,113.0
75,211,150.0
75,76,125.0
74,73,116.0
74,75,113.0
74,210,250.0
73,72,155.0
73,74,116.0
72,73,155.0
35,34,185.0
35,100,100.0
34,33,125.0
34,35,185.0
34,13,150.0
33,32,140.0
33,34,125.0
32,31,110.0
32,33,140.0
31,30,120.0
31,32,110.0
30,29,80.0
30,31,120.0
29,28,115.0
29,30,80.0
28,27,115.0
28,29,115.0
27,26,95.0
27,28,115.0
26,25,105.0
26,27,95.0
25,24,110.0
25,26,105.0
24,23,129.0
24,25,110.0
23,22,120.0
23,24,129.0
22,196,130.0
22,23,120.0
196,197,160.0
196,22,130.0
197,198,164.0
197,196,160.0
198,199,137.0
198,197,164.0
199,200,137.0
199,198,137.0
200,201,157.0
200,199,137.0
201,202,179.0
201,200,157.0
202,201,179.0
160,159,93.0
160,8,169.0
159,158,139.0
159,160,93.0
158,122,118.0
158,159,139.0
122,92,105.0
122,158,118.0
123,52,83.0
123,92,199.0
124,125,157.0
124,52,212.0
125,126,127.0
125,124,157.0
126,127,157.0
126,125,127.0
127,128,120.0
127,221,175.0
127,126,157.0
127,206,170.0
128,129,141.0
128,127,120.0
129,130,139.0
129,128,141.0
130,131,119.0
130,129,139.0
131,132,118.0
131,167,117.0
131,130,119.0
131,182,96.0
132,133,175.0
132,131,118.0
133,134,142.0
133,132,175.0
134,135,142.0
134,133,142.0
135,136,135.0
135,134,142.0
136,137,192.0
136,135,135.0
137,138,145.0
137,136,192.0
138,139,168.0
138,137,145.0
139,140,167.0
139,138,168.0
140,141,115.0
140,139,167.0
141,142,116.0
141,140,115.0
142,143,137.0
142,141,116.0
143,144,132.0
143,142,137.0
144,145,128.0
144,143,132.0
145,146,137.0
145,144,128.0
146,147,150.0
146,145,137.0
147,219,120.0
147,146,150.0
219,220,360.0
219,147,120.0
220,219,360.0
173,41,217.0
174,16,147.0
174,41,160.0
175,176,211.0
175,16,142.0
176,177,170.0
176,175,211.0
177,103,115.0
177,176,170.0
178,179,178.0
178,103,173.0
179,180,179.0
179,178,178.0
180,181,305.0
180,179,179.0
181,203,139.0
181,180,305.0
203,204,155.0
203,181,139.0
204,205,133.0
204,203,155.0
205,56,123.0
205,204,133.0
206,127,170.0
206,56,135.0
221,222,180.0
221,127,175.0
222,223,174.0
222,221,180.0
223,87,296.0
223,222,174.0
224,207,129.0
224,87,99.0
207,208,133.0
207,224,129.0
208,209,130.0
208,207,133.0
209,210,163.0
209,208,130.0
210,74,250.0
210,209,163.0
211,212,117.0
211,75,150.0
212,213,108.0
212,211,117.0
213,5,152.0
213,212,108.0
214,215,150.0
214,5,195.0
215,216,130.0
215,214,150.0
216,217,144.0
216,215,130.0
217,218,116.0
217,216,144.0
218,217,116.0
195,194,161.0
195,108,155.0
194,193,133.0
194,195,161.0
193,192,214.0
193,194,133.0
192,191,174.0
192,193,214.0
191,190,185.0
191,192,174.0
190,189,168.0
190,191,185.0
189,188,152.0
189,190,168.0
188,187,140.0
188,189,152.0
187,186,108.0
187,188,140.0
186,59,114.0
186,187,108.0
185,184,104.0
185,59,149.0
184,183,105.0
184,185,104.0
183,182,139.0
183,184,105.0
182,131,96.0
182,183,139.0
167,166,138.0
167,131,117.0
166,165,153.0
166,167,138.0
165,164,147.0
165,166,153.0
164,163,181.0
164,165,147.0
163,162,192.0
163,164,181.0
162,161,155.0
162,163,192.0
161,81,212.0
161,162,155.0
239,240,244.0
239,113,136.0
240,241,120.0
240,239,244.0
241,240,120.0
154,155,365.0
154,121,241.0
155,156,403.0
155,154,365.0
156,157,377.0
156,155,403.0
157,49,180.0
157,156,377.0
172,171,180.0
171,170,180.0
171,172,180.0
170,169,180.0
170,171,180.0
169,168,180.0
169,170,180.0
168,68,120.0
168,169,180.0
148,149,360.0
148,68,120.0
149,150,720.0
149,148,360.0
150,151,360.0
150,149,180.0
151,152,720.0
151,150,180.0
152,153,720.0
152,151,180.0
153,152,180.0
500,501,120.0
501,502,120.0
501,500,120.0
502,503,120.0
502,501,120.0
503,504,120.0
503,502,120.0
504,505,120.0
504,503,120.0
505,506,120.0
505,504,120.0
506,507,120.0
506,505,120.0
507,508,120.0
507,506,120.0
508,509,120.0
508,507,120.0
509,510,120.0
509,508,120.0
510,511,120.0
510,509,120.0
511,512,120.0
511,510,120.0
512,513,120.0
512,511,120.0
513,514,120.0
513,512,120.0
514,515,120.0
514,513,120.0
515,516,120.0
515,514,120.0
516,517,120.0
516,515,120.0
517,518,120.0
517,516,120.0
518,519,120.0
518,517,120.0
519,520,120.0
519,518,120.0
520,519,120.0
